[2025-11-07 09:40:37]  开始计算曲率，总节点数: 13752, 设备: cuda
[2025-11-07 09:42:02]  已保存进度：节点 100/13752
[2025-11-07 09:49:38]  已保存进度：节点 200/13752
[2025-11-07 09:52:35]  已保存进度：节点 300/13752
[2025-11-07 09:55:53]  已保存进度：节点 400/13752
[2025-11-07 10:02:08]  已保存进度：节点 500/13752
[2025-11-07 10:08:10]  已保存进度：节点 600/13752
[2025-11-07 10:10:47]  已保存进度：节点 700/13752
[2025-11-07 10:12:45]  已保存进度：节点 800/13752
[2025-11-07 10:28:35]  已保存进度：节点 900/13752
[2025-11-07 10:34:02]  已保存进度：节点 1000/13752
[2025-11-07 10:35:09]  已保存进度：节点 1100/13752
[2025-11-07 10:37:34]  已保存进度：节点 1200/13752
[2025-11-07 10:40:35]  已保存进度：节点 1300/13752
[2025-11-07 10:43:13]  已保存进度：节点 1400/13752
[2025-11-07 10:45:48]  已保存进度：节点 1500/13752
[2025-11-07 11:07:24]  已保存进度：节点 1600/13752
[2025-11-07 11:09:34]  已保存进度：节点 1700/13752
[2025-11-07 11:13:21]  已保存进度：节点 1800/13752
[2025-11-07 11:14:16]  已保存进度：节点 1900/13752
[2025-11-07 11:16:49]  已保存进度：节点 2000/13752
[2025-11-07 11:18:02]  已保存进度：节点 2100/13752
[2025-11-07 11:26:43]  已保存进度：节点 2200/13752
[2025-11-07 11:30:50]  已保存进度：节点 2300/13752
[2025-11-07 11:41:01]  已保存进度：节点 2400/13752
[2025-11-07 11:44:52]  已保存进度：节点 2600/13752
[2025-11-07 11:46:55]  已保存进度：节点 2700/13752
[2025-11-07 11:50:39]  已保存进度：节点 2800/13752
[2025-11-07 11:51:32]  已保存进度：节点 2900/13752
[2025-11-07 11:56:14]  已保存进度：节点 3000/13752
[2025-11-07 12:01:39]  已保存进度：节点 3100/13752
[2025-11-07 12:04:06]  已保存进度：节点 3200/13752
[2025-11-07 12:07:09]  已保存进度：节点 3300/13752
[2025-11-07 12:09:42]  已保存进度：节点 3400/13752
[2025-11-07 12:16:23]  已保存进度：节点 3500/13752
[2025-11-07 12:17:51]  已保存进度：节点 3600/13752
[2025-11-07 12:18:35]  已保存进度：节点 3700/13752
[2025-11-07 12:21:02]  已保存进度：节点 3800/13752
[2025-11-07 12:22:41]  已保存进度：节点 3900/13752
[2025-11-07 12:25:12]  已保存进度：节点 4000/13752
[2025-11-07 12:30:31]  已保存进度：节点 4100/13752
[2025-11-07 12:39:20]  已保存进度：节点 4200/13752
[2025-11-07 12:41:21]  已保存进度：节点 4300/13752
[2025-11-07 12:46:07]  已保存进度：节点 4400/13752
[2025-11-07 12:47:17]  已保存进度：节点 4500/13752
