[2025-11-07 13:51:25]  开始计算曲率，总节点数: 2485, 设备: cuda
[2025-11-07 13:51:26]  已保存进度：节点 100/2485
[2025-11-07 13:51:28]  已保存进度：节点 200/2485
[2025-11-07 13:51:29]  已保存进度：节点 300/2485
[2025-11-07 13:51:31]  已保存进度：节点 400/2485
[2025-11-07 13:51:46]  已保存进度：节点 500/2485
[2025-11-07 13:51:48]  已保存进度：节点 600/2485
[2025-11-07 13:51:51]  已保存进度：节点 700/2485
[2025-11-07 13:51:56]  已保存进度：节点 800/2485
[2025-11-07 13:51:58]  已保存进度：节点 900/2485
[2025-11-07 13:51:59]  已保存进度：节点 1000/2485
[2025-11-07 13:52:02]  已保存进度：节点 1200/2485
[2025-11-07 13:52:03]  已保存进度：节点 1300/2485
[2025-11-07 13:52:04]  已保存进度：节点 1400/2485
[2025-11-07 13:52:09]  已保存进度：节点 1600/2485
[2025-11-07 13:52:10]  已保存进度：节点 1700/2485
[2025-11-07 13:52:10]  已保存进度：节点 1800/2485
[2025-11-07 13:52:11]  已保存进度：节点 1900/2485
[2025-11-07 13:52:13]  已保存进度：节点 2100/2485
[2025-11-07 13:52:13]  已保存进度：节点 2200/2485
[2025-11-07 13:52:14]  已保存进度：节点 2300/2485
[2025-11-07 13:52:14]  曲率计算完成，结果已保存 curvature_final.pt
[2025-11-07 13:52:14]  结果统计：mean=0.007489, min=-0.047851, max=0.052589, 无效比=0.00%
